label,translation,comment
"Environment","環境"
"External file","外部ファイル"
"Copy / Paste","コピー/ペースト"
"Googlesheets","Googleスプレッドシート"
"How to import data?","データインポートする方法ー？"
"Import","インポート"
"View","んーじゅん"
"Update","更新"
"Validate","検証"
"Update & select variables","変数ぬ更新とぅ選択"
"Date format:","日付ぬ形式："
"Date to use as origin to convert date/datetime:","日付/日時変換する元とぅしてぃ使用する日付："
"Select, rename and convert variables in table above, then apply changes by clicking button below.","うぃーぬ表っし変数選択しー、なめー変更し変換しー、しちゃぬボタンクリックし変更適用さびーん。"
"Apply changes","変更適用"
"Data has %s observations and %s variables.","データんかえー %sぬ観測値とぅ%sぬ変数ぬあいびーん。"
"Data successfully updated!","データぬ正常に更新さりやびたん！"
"Validation:","検証："
"OK","OK"
"Failed","失敗"
"Error","エラー"
"Number of rows:","行ぬかじ："
"No data to display.","表示するデータぬあいびらん。"
"Close","くーいん"
"Add a label to data","データんかいラベルいりしーん"
"Import Url","URLインポート"
"Enter URL to data:","データんかいぬURL入力しくぃみそーれー："
"Please paste a valid link in the dialog box above.","うぃーぬダイアログボックスんかい有効なリンク貼いちきてぃくぃみそーれー。"
"You can import from flat table format supported by","サポートさりとーるフラットテーブル形式からインポートなやびーん。"
"Display settings","ディスプレイぬ設定"
"Close Window","ウィンドウくーいん"
"Show data","データ表示"
"More options","ゆりうふぉーくぬオプション"
"Title:","タイトル："
"Title","タイトル"
"Font face:","書体："
"Font size:","フォントぬサイズ："
"Left","ふぃじゃい"
"Center","中心"
"Right","にじり"
"Align:","整列："
"Subtitle:","サブタイトル："
"Subtitle","サブタイトル"
"Caption:","キャプション："
"Caption","キャプション"
"X label:","Xラベル："
"X label","Xラベル"
"Y label:","Yラベル："
"Y label","Yラベル"
"Fill label:","ラベルうじゅみーん："
"Fill label","ラベルうじゅみーん"
"Color label:","カラーラベル："
"Color label","カラーラベル"
"Size label:","サイズラベル："
"Size label","サイズラベル"
"Shape label:","ラベルぬ形状："
"Shape label","ラベルぬ形状"
"Labels & Title","ラベルとぅタイトル"
"Add a smooth line:","滑らかなライン追加："
"Yes","はい"
"No","うぅーうぅー"
"Smooth line span:","滑らかなラインぬスパン："
"Jittered points:","ジッターポイント："
"Size for points/lines:","ポイント/ラインぬサイズ："
"Facet scales:","ファセットスケール："
"Facet ncol:","ファセットncol："
"Facet nrow:","ファセットnrow："
"Numbers of bins:","ビンぬかじ："
"Scale:","規模："
"X-Axis limits (empty for none):","X軸ぬ制限(なしぬばーや空)："
"X-Axis transform:","X軸変換："
"Y-Axis limits (empty for none):","Y軸ぬ範囲(なしぬばーや空)："
"Y-Axis transform:","Y軸変換："
"Bandwidth adjustment:","帯域幅ぬ調整："
"Position:","位置："
"Flip coordinate:","座標反転："
"Plot options","プロットオプション"
"Color:","カラー："
"Ribbon color:","リボンぬいる："
"Point symbol:","ポイント記号："
"Theme:","テーマ："
"Legend position:","凡例ぬ位置："
"Appearance","外観"
"Copy to clipboard","クリップボードんかいコピー"
"Code:","コード："
"Code","コード"
"Imported data","インポートさったるデータ"
"Import data", "データぬインポート"
"Export chart","チャートぬエクスポート"
"Filename:","ファイル名："
"Filename","ファイル名"
"Width:","幅："
"Height:","高さ："
"Update Preview","プレビュー更新"
"Export format:","エクスポートぬ形式："
"Use a color palette:","カラーパレット使用："
"Reverse the order of colors?","いるぬまーる逆なさびーが？"
"Use specific colors:","特定ぬいる使用すん："

